#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mend_great_schism_catholic;Request to Mend the Great Schism;;;;;;;;;;;;;x
mend_great_schism_catholic_desc;The Great Schism saw the Christian Church divided into two branches, but if a council is successfully held with the Byzantine Emperor, there may be a chance to finally reunite Christendom.;;;;;;;;;;;;;x
EVTTOOLTIPSHS.101;A Council is held to Mend the Great Schism.;;;;;;;;;;;;;x
EVTNAMESHS.101;A Council to Mend the Great Schism;;;;;;;;;;;;;x
EVTDESCSHS.101;Despite confessing what is essentially the same faith, the Western Catholic Church and the Eastern Orthodox Church has been at odds with each other since the Seven Ecumenical Councils. Now [From.GetTitledFirstName] called for a Council to heal this divide and re-unite Christendom, asking [Root.GetTitledFirstName] for [Root.GetHerHis] co-operation.\n\nThe conditions for re-union has been laid out by [From.GetTitledFirstName] and it is now up to [Root.GetTitledFirstName] and [Root.GetHerHis] bishops to decide whether this is acceptable or not. Of course, [Root.GetHerHis] subjects may reject the outcome of this council...;;;;;;;;;;;;;x
EVTOPTASHS.101;We can repent later, give the Pope what he wants.;;;;;;;;;;;;;x
EVTOPTBSHS.101;I will never stand for this heresy!;;;;;;;;;;;;;x
EVTOPTCSHS.102;The Pope is the Universal Head of the Church.;;;;;;;;;;;;;x
EVTOPTDSHS.102;The Pope is just First among Equals!;;;;;;;;;;;;;x
enforce_chalcedon_catholic;Enforce the Council of Chalcedon;;;;;;;;;;;;;x
enforce_chalcedon_catholic_desc;The Fourth Ecumenical Council saw the overturning of a previous synod headed by the heretic Eutyches resulting in the Christian Church being divided within Roman Empire, but if the significant episcopal sees of these schismatics could be restored to the Catholic faith, there may be a chance to heal this ancient schism.;;;;;;;;;;;;;x
EVTTOOLTIPSHS.103;The Coptic Pope receives a letter.;;;;;;;;;;;;;x
EVTNAMESHS.103;Review of the Council of Chalcedon;;;;;;;;;;;;;x
EVTDESCSHS.103;The Council of Chalcedon, or the Fourth Ecumenical Council, saw the split between those who spoke either Greek or Latin and those who did not speak those languages. The former became known as the "Melkites" while the latter were accused of "Monophysitism". Despite several subsequent councils to reconcile the two, they all ended up with new heresies. Now [From.GetTitledFirstName] called for a review the Council of Chalcedon, asking [Root.GetTitledFirstName] to reconsider their Church's stance on the issue.\n\nThe conditions for communion has been laid out by [From.GetTitledFirstName] and it is now up to [Root.GetTitledFirstName] and [Root.GetHerHis] bishops to decide whether this is acceptable or not.;;;;;;;;;;;;;x
enforce_ephesus_catholic;Enforce the Council of Ephesus;;;;;;;;;;;;;x
enforce_ephesus_catholic_desc;The Third Ecumenical Council saw final condemnation of the heretic Nestorius. However, due to not being invited, the bishops outside the Roman Empire were not invited resulting in them siding with him, but if the significant episcopal sees of these schismatics could be restored to the Catholic faith, there may be a chance to bring back these Churches to the Mother Church.;;;;;;;;;;;;;x
EVTTOOLTIPSHS.105;The Catholicos-Patriarch receives a letter.;;;;;;;;;;;;;x
