#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,,,,
d_zhayedan_1;First vasht of Zhayedan;Immortels;Unsterbliche;;Inmortales;;;;;;;;;x,,,,,,,
d_zhayedan_1_adj;Persian;Perse;Persisch;;Persa;;;;;;;;;x,,,,,,,
d_zhayedan_2;Second vasht of Zhayedan;Immortels;Unsterbliche;;Inmortales;;;;;;;;;x,,,,,,,
d_zhayedan_2_adj;Persian;Perse;Persisch;;Persa;;;;;;;;;x,,,,,,,
SPAHBED;Varthagh-Nighan Khvadhay;Varthagh-Nighan Khvadhay;Varthagh-Nighan Khvadhay;;Varthagh-Nighan Khvadhay;;;;;;;;;x,,,,,,,
organize_zhayedan_1;Reorganise the first vasht of Zhayedan;;;;;;;;;;;;;x,,,,,,,
organize_zhayedan_1_desc;Reorganise the first devision (vasht) of Zhayedan (Immortals) - a heavy cavalry unit to serve as the elite unit of the [Root.GetTitle].;;;;;;;;;;;;;x,,,,,,,
organize_zhayedan_2;Reorganise the second vasht of Zhayedan;;;;;;;;;;;;;x,,,,,,,
organize_zhayedan_2_desc;Reorganise the second devision (vasht) of Zhayedan (Immortals) - a heavy cavalry unit to serve as the elite unit of the [Root.GetTitle].;;;;;;;;;;;;;x,,,,,,,
d_guardians_of_light;Guardians of Light;;;;;;;;;;;;;;;;;;;X,,,,,,,
d_guardians_of_light_adj;Persian;;;;;;;;;;;;;;;;;;;X,,,,,,,
d_manichean;Archegos;;;;;;;;;;;;;;;;;;X,,,,,,,
d_manichean_adj;Persian;;;;;;;;;;;;;;;;;;X,,,,,,,
"self_castration_desc;As a devoted Manichee, end your desire to the physical flesh as a sign of devotion;;;;;;;;;;;;;;;;;;X",,,,,,,
fund_shahnameh_addition;Fund Addition to the Shahnameh;;;;;;;;;;;;;;;;;;X,,,,,,,
mandaeism;Mandaeism;;;;;;;;;;;;;;X,,,,,,,
sogdian;Sogdian;;;;;;;;;;;;;X,,,,,,,
"EVTDESCRoM.26091;With the Archegos landed in Samarqand and a proper Mainchean Shah in Sogdia, a holy order has been created to defend these lands;;;;;;;;;;;;;;;X",,,,,,,
restore_archegos_desc;Grant the Archegos his proper seat of government establishing him as a temporal ruler as well.  Plus we will have the benefit of our religious leader being in our debt;;;;;;;;;;;;;x,,,,,,,
rebuild_ctesiphon_desc;Rebuild the Sassanid capital of Ctesiphon;;;;;;;;;;x,,,,,,,
celebrate_nowruz_desc;Celebrate the Persian New Year Festival of Nowruz;;;;;;;;;;;;;;x,,,,,,,
rebuild_ctesiphon_desc;Rebuild the Sassanid capital of Ctesiphon;;;;;;;;;;x,,,,,,,
rebuild_nahrawan_canal_desc;Rebuild the Nahrawan Canal system to reestablish our once prominanet agricultural breadbasket before the Arab invasion led to its disrepair;;;;;;;;;;;x ,,,,,,,
reestablish_old_provinces_desc;Reestablish the old naming and organization of the Sassanid Empire;;;;;;;;;;;;;;x,,,,,,,
fund_shahnameh_desc;Fund the Persian Epic Shahnameh a cornerstone in Iranian culture;;;;;;;;;;;;x,,,,,,,
fund_shahnameh_addition_desc;Fund an expansion to the Persian Epic Shahnameh about the heroics of you and your dynasty's heroics;;;;;;;;;;;;x,,,,,,,
d_samarra;Samarra;;;;;;;;;;;;;;;x,,,,,,,
d_samarra_adj;Mesopatamian;;;;;;;;;;;;;;;;;x,,,,,,,
d_jazira;Nisibin;;;;;;;;;;x,,,,,,,
d_jazira_adj;Assyrian;;;;;;;;;;;x,,,,,,,
assyrian;Assyrian;;;;;;;;;;;x,,,,,,,
assyrian_adj;Assyrian;;;;;;;;;;x,,,,,,,
k_assyria;Assyria;;;;;;;;;x,,,,,,,
k_kurdistan;Kurdistan;;;;;;;;x,,,,,,,
afghan;Pashtun;;;;;;;;;;;x,,,,,,,
afghan_adj;Pashtun;;;;;;;;;;;;;x,,,,,,,
EVTNAMEZOR.10;Liberation of Sogdia;;;;;;;x,,,,,,,
EVTDESCZOR.10;The land of Sogdia has been purified of barbarian and Arab rulers and will soon be purified of Arab influences.,"Now that we completely control the ancient province of Sogdia, a critical frontier","region of all of the great Persian Dynasties, we are in great position to purify the rest of our ancient empire of foreign influences.",Unlike many of other parts of the region this land has always been less settled and still has large tribal ares. It will once again serve as our frontier against the Turks and other nomadic peoples. Since this region was conquered later than the other regions of the Sassanid Empire,"most provinces are still either Zoroastrian, Manichean and Nestorian leading to a larger powerbase and weaker opposition to our new rule;;;;;;;;;x",,,
EVTOPTAZOR.10;Glorious News;;;;;;;;;;;;;;;;;x,,,,,,,
EVTNAMEZOR.11;Liberation of Bactria;;;;;;;;;;;;;;;;x,,,,,,,
EVTDESCZOR.11;The ancient province of Bactria,"the birthplace of Zoroastrianism has been liberated, providing a great boost to the authority of our religion.",The ancient Fire Temples burn again as we come one step closer to unifying our great empire once again.,"Now that we border the Punjab, we should consider advancing into the Punjab as well as the Gujariati kingdoms",due to the rumors of a large Zoroastrian population in exile in Gujararat.;;;;;;;;;;;;;;x,,,
EVTOPTAZOR.11;Glorious News;;;;;;;;;;;;;;;;;x,,,,,,,
EVTNAMEZOR.12;Liberation of Gedrosia;;;;;;;;x,,,,,,,
EVTDESCZOR.12;The ancient province of Gedrosia has a rather small population,compared to other provinces in the empire it does contain a major Holy Site to the Zoroastrian Faith in Sistan,"However, it is at a vital strategic point bordering Sindh as well as being ",close in proximity to Oman an importan center of trade,"Now that Gedrosia has been retaken aften such a long time, we should also evaluate the status of the neghboring Sindh Kingdom to contemplate further eroding the Islamic advance throughout the region;;;;;;;;;;x",,,
