CB_NAME_IMPERIAL2;Imperial Reconquest of [Title.GetBaseName];Reconquête Impériale de [Title.GetBaseName];Kaiserliche Rückeroberung von [Title.GetBaseName];;Reconquista imperial del [Title.GetBaseName];;;;;;;;;x
WAR_NAME_IMPERIAL2;$ORDER$$FIRST_ADJ$ Imperial Reconquest of $OTHER_TITLE$;Reconquête impériale $ORDER$$FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$ Kaiserliche Rückeroberung von $OTHER_TITLE$;;$ORDER$ Reconquista imperial de $OTHER_TITLE$;;;;;;;;;x
imperial_reconquest2_desc;The lost territory of the Byzantine Empire must be reclaimed! §Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!.;Le territoire perdu par l'Empire byzantin doit être repris ! §Y$CLAIMANT$§! peut utiliser ce Casus Belli pour s'emparer de tous les tires détenus par §Y$TARGET$§! qui appartiennent de jure à §Y$TITLE$§!.;Die verlorenen Territorien des Byzantinischen Reiches müssen zurückgewonnen werden! §Y$CLAIMANT$§! kann diesen Kriegsgrund nutzen, um alle Titel von §Y$TARGET$§! innerhalb von §Y$TITLE$§! zu konfiszieren.;;¡Los territorios perdidos del Imperio Bizantino han de ser recuperados! §Y$CLAIMANT$§! puede usar este Casus Belli para recuperar todos los títulos de §Y$TARGET$§! que se encuentren en el territorio de Jure de §Y$TITLE$§!.;;;;;;;;;x
EVTDESCPA.10000;You are the current ruler of the glorious Roman Empire. May your reign be a prosperous one!;;;;;;;;;;x
EVTDESCPA.10001;You are no longer the ruler of the Roman Empire. It will surely crumble without your guiding hand to lead it.;;;;;;;;;;x
EVTDESCPA.10002;I have been Born in the Purple!;;;;;;;;;;x
EVTDESCPA.10003;A child has been born in the purple room of the Imperial Palace, strengthening their claim to the throne.;;;;;;;;;;x
EVTDESCPA.10004;One of the eunuchs at the Imperial Court has distinguished himself and caught the attention of your advisors. Though they are usually of the jealous kind and loathe to admit redeeming qualities in others, even they cannot deny the promise of this young man.;Un des eunuques de la Cour impériale s'est distingué et a attiré l'attention de vos conseillers. Bien qu'ils soient habituellement du style jaloux et qu'ils aient horreur d'admettre trouver des qualités chez les autres, même eux ne peuvent nier le potenti;Einer der Eunuchen des kaiserlichen Hofes hat sich ausgezeichnet und die Aufmerksamkeit Eurer Berater auf sich gezogen. Auch wenn sie normalerweise eher eifersüchtiger Natur sind und es verabscheuen, positive Eigenschaften anderer anzuerkennen, können auc;;Uno de los eunucos de la Corte Imperial se ha destacado  del resto y ha llamado la atención de tus asesores. Aunque por lo general son más bien celosos y detestan reconocer las cualidades redentoras de los demás, no pueden negar la promesa de este joven.;;;;;;;;;x
EVTOPTAPA.10004;Very well. Bring this man before me.;Très bien. Amenez-moi cet homme.;Nun gut. Bringt ihn zu mir.;;Muy bien. Traedme este hombre ante mí.;;;;;;;;;x
EVTOPTBPA.10004;He should be cleaning floors and watching over women.;Il devrait laver les sols et surveiller les femmes.;Er sollte Böden reinigen und auf die Frauen aufpassen.;;Él debería estar limpiando suelos y cuidando de las mujeres.;;;;;;;;;x
born_in_the_purple2;Born in the Purple;;;;;;;;;x
born_in_the_purple2_desc;This character was "born in the purple" - a high honour in the realm. It is a special trait bestowed only to children born of a ruling monarch in the purple chamber of the palace.;;;;;;;;;x
augustus;Augustus;Auguste;Augustus;;Augusto;;;;;;;;;x
augustus_desc;This character is the current ruler of the Roman Empire and commands the respect an office of such magnitude is due.;Ce personnage est l'actuel régnant de l'Empire romain. L'ampleur de sa fonction commande le respect.;Dieser Charakter ist der gegenwärtige Herrscher des Römischen Reiches und verlangt den Respekt, der einem Amt solcher Größe gebührt.;;Este personaje es el gobernante actual del Imperio Romano e inspira el respeto que se debe a un cargo con tal magnitud.;;;;;;;;;x
augusta;Augusta;Augusta;Augusta;;Augusta;;;;;;;;;x
augusta_desc;This character is the current ruler of the Roman Empire and commands the respect an office of such magnitude is due.;Ce personnage est l'actuel régnant de l'Empire romain. L'ampleur de sa fonction commande le respect.;Dieser Charakter ist der gegenwärtige Herrscher des Römischen Reiches und verlangt den Respekt, der einem Amt solcher Größe gebührt.;;Este personaje es el gobernante actual del Imperio Romano e inspira el respeto que se debe a un cargo con tal magnitud.;;;;;;;;;x
baron_roman;Comes;;;;;;;;;x
baron_female_roman;Comitissa;;;;;;;;;x
barony_of_roman;Castra of;;;;;;;;;x
city_baron_roman;Praetor;;;;;;;;;x
count_roman;Dominus;;;;;;;;;x
count_female_roman;Domina;;;;;;;;;x
county_of_roman;Dominium of;;;;;;;;;x
city_count_roman;Prefect;;;;;;;;;x
duke_roman;Dux;;;;;;;;;x
duke_female_roman;Ducissa;;;;;;;;;x
duchy_of_roman;Province of;;;;;;;;;x
city_duke_of_Roman;Proconsul;;;;;;;;;x
city_duchy_of_roman;Province of;;;;;;;;;x
king_roman;Rex;;;;;;;;;x
king_female_roman;Regina;;;;;;;;;x
city_king_roman;Consul;;;;;;;;;x
city_kingdom_of_roman;Republic of;;;;;;;;;x
emperor_roman;Imperator;;;;;;;;;x
emperor_female_roman;Imperatrix;;;;;;;;;x
city_emperor_roman;Princeps;;;;;;;;;x
city_empire_of_roman;Republic of;;;;;;;;;x
revive_roman_culture;Revive Roman Culture;;;;;;;;;x
revive_roman_culture_desc;Rome has been restored to its former glory, but its once rich language and culture is dead. You can attempt to restore it if you wish.;;;;;;;;;x
roman_culture;[From.GetTitledName] becomes Roman;;;;;;;;;x
build_imperial_walls;Build Imperial Walls;;;;;;;;;x
build_imperial_walls_desc;The Aurelian Walls are no longer strong enough to protect Rome. The city needs a new set of fortifications worthy of its status as an Imperial capital.;;;;;;;;;x
RETTYPE_CUL_ROMAN;Legionaries;;;;;;;;;x
ca_culture_roman_1;Legionary Training Ground;;;;;;;;;x
ca_culture_roman_2;Legionary Training Ground;;;;;;;;;x
ca_culture_roman_3;Legionary Training Ground;;;;;;;;;x
ca_culture_roman_4;Legionary Training Ground;;;;;;;;;x
ca_culture_roman_1_desc;Legionary units include heavy infantry and pikemen. They are well equipped shock troops which can deal heavy damage.;;;;;;;;;x
tp_rom_wall_6;Aurelian Walls;;;;;;;;;x
