#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTNAME62951;Ragnarr's Curse;Malédiction de Ragnarr;Ragnarr's Fluch;;La maldición de Ragnarr;;;;;;;;;x
EVTDESC62951;The cowardly king Ælla is kneeling before me in the mud, refusing to meet my eyes. The men call out for various punishments - some more creative than others. I call for silence and a hush descends as the raven banner flutters eagerly above the doomed man. It is time to exact revenge for my dead father, Ragnarr...;Ælla, le roi lâche, s'agenouille dans la boue devant moi en baissant le regard. Les hommes demandent différents châtiments – certains étant plus créatifs que d'autres. J'appelle au silence. Le calme tombe tandis que la bannière du corbeau bat au gré d'un vent violent au-dessus de l'homme maudit. L'heure est venue de venger mon défunt père, Ragnarr...;Der feige König Ælla kniet vor mir im Staub und wagt es nicht, mir in die Augen zu sehen. Die Männer fordern die verschiedensten Strafen, manche davon sehr originell. Ich gebiete Ruhe und die Männer verstummen, während das Rabenbanner über dem Todgeweihten munter flattert. Nun schlägt die Stunde der Rache. Vergeltung für meinen toten Vater Ragnarr...;;El rey cobarde Ælla está de rodillas ante de mí en el barro, negándose a mirarme a los ojos. Los hombres claman varios castigos, algunos más creativos que otros. Pido silencio y este cae igual que el estandarte del cuervo ondea con entusiasmo encima del hombre condenado. Es el momento de vengar a mi difunto padre, Ragnarr.;;;;;;;;;x
EVTOPTA62951;Carve the Blood Eagle!;Mutilez l'Aigle de sang !;Bestraft ihn mit einem Blutadler!;;!Esculpe el águila de sangre!;;;;;;;;;x
EVTOPTB62951;Sacrifice him to Odin!;Sacrifiez-le à Odin !;Bringt ihn Odin zum Opfer dar!;;!Sacrifícale a Odín!;;;;;;;;;x
EVTOPTC62951;Four balls for the Ravens!;Quatre balles pour les Corbeaux !;Reißt ihm die Augen und Hoden heraus!;;!Cuatro pelotas para los Cuervos!;;;;;;;;;x
EVTOPTD62951;I have other plans for Ælla...;J'ai d'autres plans pour Ælla…;Ich habe andere Pläne mit Ælla ...;;Tengo otros planes para Ælla...;;;;;;;;;x
EVTDESC62952;The last thing I saw before the heathen savages carved out my eyes was the horrible grin on [From.GetFirstName]'s face. I tried to curl up as they prepared to unman me...;La dernière chose que j'ai vue avant que ces sauvages hérétiques ne m'arrachent les yeux, ce fut un infâme sourire sur le visage de [From.GetFirstName]. J'ai tenté de me recroqueviller alors qu'ils se préparaient à m'émasculer…;Das Letzte, was ich sah, bevor mir diese heidnischen Wilden die Augen aus dem Kopf schnitten, war das schreckliche Grinsen von [From.GetFirstName]. Ich versuchte, mich zusammenzukrümmen, als sie sich anschickten, mich zu entmannen ...;;La œltima cosa que vi antes de los salvajes paganos me sacaran los ojos fue la sonrisa horrible en la cara de [From.GetFirstName]. Traté de acurrucarme mientras se preparaban a quitarme la virilidad...;;;;;;;;;x
EVTOPTA62952;ARRRRGH!;ARRRRGH !;ARRRRGH!;;Raaabiaaa!;;;;;;;;;x
AIREASON_IN_OTHER_WAR;In Other War;Dans une autre guerre;In einem anderen Krieg;;En otra guerra;;;;;;;;;x
AIREASON_BUSY_RAIDING;Raiding;En pillage;Auf Raubzug;;Asaltando;;;;;;;;;x
WRONG_RELIGION_MODIFIER;Wrong Religion;Mauvaise religion;Falsche Religion;;Religión incorrecta;;;;;;;;;x
WRONG_CULTURE_MODIFIER;Wrong Culture;Mauvaise culture;Falsche Kultur;;Cultura incorrecta;;;;;;;;;x
opinion_infidel_tribal_liege;Infidel;Infidèle;Ungläubiger;;Infiel;;;;;;;;;x
opinion_heretic_tribal_liege;Heretic;Hérétique;Ketzer;;Hereje;;;;;;;;;x
opinion_related_religion_tribal_liege;Religious Differences;Différences religieuses;Religiöse Unterschiede;;Diferencias religiosas;;;;;;;;;x
AIREASON_TRIBAL_VASSAL_PRESTIGE_HIT;Would cost me too much prestige;Coûterait trop de prestige;Die Prestigekosten wären zu hoch;;Me costaría demasiado prestigio;;;;;;;;;x
opinion_granted_other_vice_royalty;Feudal opinion of granted Viceroyalties;Opinion féodale de l'attribution de vice-royautés;Feudalmeinung für vergebene Vizekönigreiche ;;Opinión feudal sobre nombrar virreyes;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_8;Granting a Viceroyalty will lower all of your feudal duke and king subjects' opinion of you by §R$OPINION$§!.;Attribuer une vice-royauté entraînera une perte de §R$OPINION$§! à l'opinion que tous vos ducs et rois ont de vous.;Das Einsetzen eines Vizekönigs wird euer Ansehen bei euren Herzogs- und Königsvasallen um §R$OPINION$§! senken. ;;Nombrar a un virrey reducirá la opinión de tus duques feudales y de los súbditos del rey en §R$OPINION$§!.;;;;;;;;;x
NOT_ANY_PREVIOUS_HOLDER_STARTS;No Previous Holder;Aucun titulaire antérieur;Kein früherer Inhaber;;Sin dueño anterior;;;;;;;;;x
tribal_build_zeal_ARMY_OF;$RELIGION$ Zealots of $CHARACTER$;Zélotes de religion $RELIGION$ de $CHARACTER$;$RELIGION$ Zeloten von $CHARACTER$;;$RELIGION$ fanáticos $CHARACTER$ ;;;;;;;;;x
tribal_organize_raid_ARMY_OF;Raiders of $CHARACTER$;Pillards de $CHARACTER$;Plünderer von $CHARACTER$;;$CHARACTER$ incursores;;;;;;;;;x
tribal_build_legend_ARMY_OF;Warriors of $CHARACTER$;Guerriers de $CHARACTER$;Krieger von $CHARACTER$;;$CHARACTER$ guerreros;;;;;;;;;x
tribal_build_zeal_ARMY;$RELIGION$ Zealots;Zélotes de religion $RELIGION$;$RELIGION$ Zeloten;;$RELIGION$ fanáticos;;;;;;;;;x
tribal_organize_raid_ARMY;Raiders;Pillards;Plünderer;;Incursores;;;;;;;;;x
tribal_build_legend_ARMY;Warriors;Guerriers;Krieger;;Guerreros;;;;;;;;;x
expel_saint_anthony;Expel the Order of Saint Anthony;Expulser l'Ordre de saint Antoine;Vertreibt den Orden des Heiligen Antonius;;Expulsar a la Orden de San Antonio;;;;;;;;;x
expel_saint_anthony_desc;I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser l'Ordre de saint Antoine de mon territoire et m'emparer de leurs châteaux. Ce serait, par contre, un acte très impie...;Ich kann den Orden des Heiligen Antonius aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat ...;;Puedo echar a la Orden de San Antonio de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x
adopt_feudalism_tooltip_1;Government changed to Feudal.\nCapital upgraded to a castle.\n;Gouvernement modifié à féodal.\nCapitale améliorée en château.\n;Regierung geändert zu feudal.\nDie Hauptstadt wurde zur Burg ausgebaut.\n;;El gobierno ha cambiado a feudal. \n Capital actualizada a castillo.;;;;;;;;;x
adopt_republicanism_tooltip_1;Government changed to Merchant Republic.\nCapital upgraded to a city.;Gouvernement modifié à république marchande.\nCapitale améliorée en ville.\n;Regierung geändert zur Handelsrepublik.\nDie Hauptstadt wurde zur Stadt ausgebaut.;;El gobierno ha cambiado a repœblica mercante.\n Capital actualizada a ciudad.;;;;;;;;;x
convert_to_city;Upgrade Tribal Settlements;Améliorer les colonies tribales;Ausbauen der Stammessiedlungen;;Actualiza asentamientos tribales;;;;;;;;;x
convert_to_city_desc;I can upgrade my tribal settlements to proper cities.;Je peux améliorer mes colonies tribales et en faire de vraies villes.;Ich kann meine Stammessiedlungen zu Städten ausbauen.;;Puedo actualizar mis asentamientos tribales a auténticas ciudades.;;;;;;;;;x
convert_to_castle;Upgrade Tribal Settlements;Améliorer les colonies tribales;Ausbauen der Stammessiedlungen;;Actualiza asentamientos tribales;;;;;;;;;x
convert_to_castle_desc;I can upgrade my tribal settlements to proper castles.;Je peux améliorer mes colonies tribales et en faire de vrais châteaux.;Ich kann meine Stammessiedlungen zu Burgen ausbauen.;;Puedo actualizar mis asentamientos tribales a auténticos castillos.;;;;;;;;;x
ISNT_CROWN_LAW_TITLE;Is not a Crown Law title;Ceci n'est pas un titre du droit de la Couronne;Ist kein Titel des Kronrechts;;No es un título de Derecho de la Corona;;;;;;;;;x
IS_CROWN_LAW_TITLE;Is a Crown Law title;Ceci est un titre du droit de la Couronne;Ist ein Titel des Kronrechts;;Es un título legal de la Corona;;;;;;;;;x
LAW_UNLOCKS;Laws unlocked: ;Lois débloquées : ;Gesetze freigeschaltet:;;Leyes desbloqueadas:;;;;;;;;;x
DECISION_UNLOCKS;Decisions unlocked: ;Décisions débloquées : ;Entscheidungen freigeschaltet: ;;Decisiones desbloqueadas: ;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_ON;Revocation of duchy titles free.\n;Aucune pénalité pour la révocation des titres de duché.\n;Freie Aberkennung von Herzogstiteln.\n;;Permite revocación de títulos de ducados.;;;;;;;;;x
ALLOW_FREE_DUCHY_REVOKATION_OFF;Revocation of duchy titles no longer free.\n;Pénalités applicables pour la révocation des titres de duché.\n;Keine weitere freie Aberkennung von Herzogstiteln.\n;;No permite la revocación de títulos de ducados.;;;;;;;;;x
#ALLOW_FREE_VICEROY_DUCHY_REVOKATION_ON;Revocation of viceroyalty duchy titles free.\n;Aucune pénalité pour la révocation des titres de duché de vice-royauté.\n;Freie Aberkennung von Vizekönigstiteln.\n;;Permite revocación de títulos de virreinato.;;;;;;;;;x
#ALLOW_FREE_VICEROY_DUCHY_REVOKATION_OFF;Revocation of viceroyalty duchy titles no longer free.\n;Pénalités applicables pour la révocation des titres de duché de vice-royauté.\n;Keine weitere freie Aberkennung von Vizekönigstiteln.\n;;No permite revocación de títulos de virreinato;;;;;;;;;x
